City_State,RPP_c,vals
"Abilene, TX (Metropolitan Statistical Area)",RPPs: All items,91.5
"Abilene, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.1
"Abilene, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,79.5
"Abilene, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Akron, OH (Metropolitan Statistical Area)",RPPs: All items,90
"Akron, OH (Metropolitan Statistical Area)",  RPPs: Goods,95.9
"Akron, OH (Metropolitan Statistical Area)",  RPPs: Services: Rents,76.8
"Akron, OH (Metropolitan Statistical Area)",  RPPs: Services: Other,90.9
"Albany, GA (Metropolitan Statistical Area)",RPPs: All items,83.3
"Albany, GA (Metropolitan Statistical Area)",  RPPs: Goods,97
"Albany, GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,54.8
"Albany, GA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Albany, OR (Metropolitan Statistical Area)",RPPs: All items,94.6
"Albany, OR (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Albany, OR (Metropolitan Statistical Area)",  RPPs: Services: Rents,88
"Albany, OR (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",RPPs: All items,100.4
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",  RPPs: Goods,98
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",  RPPs: Services: Rents,105.1
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Albuquerque, NM (Metropolitan Statistical Area)",RPPs: All items,96.3
"Albuquerque, NM (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Albuquerque, NM (Metropolitan Statistical Area)",  RPPs: Services: Rents,90.1
"Albuquerque, NM (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Alexandria, LA (Metropolitan Statistical Area)",RPPs: All items,87.9
"Alexandria, LA (Metropolitan Statistical Area)",  RPPs: Goods,97.3
"Alexandria, LA (Metropolitan Statistical Area)",  RPPs: Services: Rents,66.2
"Alexandria, LA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",RPPs: All items,100.8
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",  RPPs: Goods,98.6
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",  RPPs: Services: Rents,101.5
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",  RPPs: Services: Other,102.9
"Altoona, PA (Metropolitan Statistical Area)",RPPs: All items,90.7
"Altoona, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Altoona, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,64.6
"Altoona, PA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Amarillo, TX (Metropolitan Statistical Area)",RPPs: All items,93
"Amarillo, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Amarillo, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,83.9
"Amarillo, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Ames, IA (Metropolitan Statistical Area)",RPPs: All items,91.6
"Ames, IA (Metropolitan Statistical Area)",  RPPs: Goods,92.9
"Ames, IA (Metropolitan Statistical Area)",  RPPs: Services: Rents,91.5
"Ames, IA (Metropolitan Statistical Area)",  RPPs: Services: Other,90.2
"Anchorage, AK (Metropolitan Statistical Area)",RPPs: All items,109.2
"Anchorage, AK (Metropolitan Statistical Area)",  RPPs: Goods,102.1
"Anchorage, AK (Metropolitan Statistical Area)",  RPPs: Services: Rents,145.6
"Anchorage, AK (Metropolitan Statistical Area)",  RPPs: Services: Other,99.8
"Ann Arbor, MI (Metropolitan Statistical Area)",RPPs: All items,101.8
"Ann Arbor, MI (Metropolitan Statistical Area)",  RPPs: Goods,98.2
"Ann Arbor, MI (Metropolitan Statistical Area)",  RPPs: Services: Rents,114
"Ann Arbor, MI (Metropolitan Statistical Area)",  RPPs: Services: Other,99.3
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",RPPs: All items,83.8
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,53.1
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Appleton, WI (Metropolitan Statistical Area)",RPPs: All items,91.9
"Appleton, WI (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Appleton, WI (Metropolitan Statistical Area)",  RPPs: Services: Rents,77.8
"Appleton, WI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Asheville, NC (Metropolitan Statistical Area)",RPPs: All items,92.6
"Asheville, NC (Metropolitan Statistical Area)",  RPPs: Goods,95.9
"Asheville, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,87
"Asheville, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.5
"Athens-Clarke County, GA (Metropolitan Statistical Area)",RPPs: All items,90.8
"Athens-Clarke County, GA (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Athens-Clarke County, GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,77.7
"Athens-Clarke County, GA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",RPPs: All items,96.3
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",  RPPs: Goods,98.3
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,93.5
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",  RPPs: Services: Other,95.9
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",RPPs: All items,103.5
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",  RPPs: Goods,101.2
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",  RPPs: Services: Rents,100.8
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",  RPPs: Services: Other,107.9
"Auburn-Opelika, AL (Metropolitan Statistical Area)",RPPs: All items,84.6
"Auburn-Opelika, AL (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Auburn-Opelika, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,70.7
"Auburn-Opelika, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",RPPs: All items,88.3
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",  RPPs: Goods,97.4
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",  RPPs: Services: Rents,68.7
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Austin-Round Rock, TX (Metropolitan Statistical Area)",RPPs: All items,100
"Austin-Round Rock, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Austin-Round Rock, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,117.2
"Austin-Round Rock, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Bakersfield, CA (Metropolitan Statistical Area)",RPPs: All items,96.7
"Bakersfield, CA (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Bakersfield, CA (Metropolitan Statistical Area)",  RPPs: Services: Rents,91.7
"Bakersfield, CA (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",RPPs: All items,107.2
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",  RPPs: Goods,102.8
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",  RPPs: Services: Rents,116
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",  RPPs: Services: Other,105.2
"Bangor, ME (Metropolitan Statistical Area)",RPPs: All items,95.7
"Bangor, ME (Metropolitan Statistical Area)",  RPPs: Goods,98
"Bangor, ME (Metropolitan Statistical Area)",  RPPs: Services: Rents,85.9
"Bangor, ME (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Barnstable Town, MA (Metropolitan Statistical Area)",RPPs: All items,103.9
"Barnstable Town, MA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Barnstable Town, MA (Metropolitan Statistical Area)",  RPPs: Services: Rents,121.1
"Barnstable Town, MA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Baton Rouge, LA (Metropolitan Statistical Area)",RPPs: All items,93
"Baton Rouge, LA (Metropolitan Statistical Area)",  RPPs: Goods,96.6
"Baton Rouge, LA (Metropolitan Statistical Area)",  RPPs: Services: Rents,86.2
"Baton Rouge, LA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Battle Creek, MI (Metropolitan Statistical Area)",RPPs: All items,90.6
"Battle Creek, MI (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Battle Creek, MI (Metropolitan Statistical Area)",  RPPs: Services: Rents,74.5
"Battle Creek, MI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Bay City, MI (Metropolitan Statistical Area)",RPPs: All items,86.9
"Bay City, MI (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Bay City, MI (Metropolitan Statistical Area)",  RPPs: Services: Rents,61.7
"Bay City, MI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",RPPs: All items,89.8
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.5
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,71.1
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Beckley, WV (Metropolitan Statistical Area)",RPPs: All items,78.8
"Beckley, WV (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Beckley, WV (Metropolitan Statistical Area)",  RPPs: Services: Rents,54.1
"Beckley, WV (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Bellingham, WA (Metropolitan Statistical Area)",RPPs: All items,99.4
"Bellingham, WA (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Bellingham, WA (Metropolitan Statistical Area)",  RPPs: Services: Rents,103.7
"Bellingham, WA (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Bend-Redmond, OR (Metropolitan Statistical Area)",RPPs: All items,99
"Bend-Redmond, OR (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Bend-Redmond, OR (Metropolitan Statistical Area)",  RPPs: Services: Rents,105.2
"Bend-Redmond, OR (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Billings, MT (Metropolitan Statistical Area)",RPPs: All items,97.5
"Billings, MT (Metropolitan Statistical Area)",  RPPs: Goods,95.6
"Billings, MT (Metropolitan Statistical Area)",  RPPs: Services: Rents,95
"Billings, MT (Metropolitan Statistical Area)",  RPPs: Services: Other,101.7
"Binghamton, NY (Metropolitan Statistical Area)",RPPs: All items,95.9
"Binghamton, NY (Metropolitan Statistical Area)",  RPPs: Goods,98
"Binghamton, NY (Metropolitan Statistical Area)",  RPPs: Services: Rents,85.4
"Binghamton, NY (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",RPPs: All items,88.8
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",  RPPs: Goods,97.5
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,68.8
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Bismarck, ND (Metropolitan Statistical Area)",RPPs: All items,93.9
"Bismarck, ND (Metropolitan Statistical Area)",  RPPs: Goods,97
"Bismarck, ND (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.7
"Bismarck, ND (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",RPPs: All items,88.5
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",  RPPs: Goods,91.2
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",  RPPs: Services: Rents,79.1
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.3
"Bloomington, IL (Metropolitan Statistical Area)",RPPs: All items,93.8
"Bloomington, IL (Metropolitan Statistical Area)",  RPPs: Goods,96.7
"Bloomington, IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.8
"Bloomington, IL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Bloomington, IN (Metropolitan Statistical Area)",RPPs: All items,93.7
"Bloomington, IN (Metropolitan Statistical Area)",  RPPs: Goods,96.8
"Bloomington, IN (Metropolitan Statistical Area)",  RPPs: Services: Rents,89.1
"Bloomington, IN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.3
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",RPPs: All items,93.3
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,75.4
