"","City","State","Avg.Salary","Avg.Sal.Index","Local.Purchasing.Power","Regional.Price.Parity","LPP.Index","Rent.Index","lat","lng","City.Category"
"1","Akron","OH",49008,102.5,54453,90,113.9,76.8,41.08144,-81.51901,"Avg CP,
Low DS"
"2","Albany","NY",51546,107.8,51341,100.4,107.4,105.1,42.65258,-73.75623,"Low-Avg CP,
High DS"
"3","Albuquerque","NM",40369,84.4,41920,96.3,87.6,90.1,35.08449,-106.65114,"Lowest CP,
Avg DS"
"4","Ann Arbor","MI",51508,107.7,50597,101.8,105.8,114,42.27756,-83.74088,"Low-Avg CP,
High DS"
"5","Arlington","TX",49923,104.4,49823,100.2,104.2,103.2,32.73569,-97.10807,"Low-Avg CP,
High DS"
"6","Arlington","VA",54683,114.4,45914,119.1,96.1,166.4,38.88101,-77.10428,"Lowest-Low CP,
High DS"
"7","Asheville","NC",43528,91,47006,92.6,98.3,87,35.60095,-82.55402,"Low CP,
Avg DS"
"8","Athens","GA",39732,83.1,43758,90.8,91.5,77.7,33.96095,-83.37794,"Low CP,
Low DS"
"9","Atlanta","GA",48007,100.4,49852,96.3,104.3,93.5,33.749,-84.38798,"Low CP,
Avg DS"
"10","Augusta","GA",42573,89.1,48214,88.3,100.9,68.7,33.47097,-81.97484,"Low CP,
Low DS"
"11","Austin","TX",51110,106.9,51110,100,106.9,117.2,30.26715,-97.74306,"Low-Avg CP,
High DS"
"12","Bakersfield","CA",37770,79,39059,96.7,81.7,91.7,35.37329,-119.01871,"Lowest CP,
Avg DS"
"13","Baltimore","MD",51979,108.7,48488,107.2,101.4,116,39.29038,-76.61219,"Low-Avg CP,
High DS"
"14","Bellevue","WA",57630,120.5,52154,110.5,109,134,47.61038,-122.20068,"Avg CP,
High DS"
"15","Bellingham","WA",43394,90.8,43656,99.4,91.3,103.7,48.75955,-122.48822,"Lowest CP,
Avg DS"
"16","Berkeley","CA",66920,140,53665,124.7,112.3,190.9,37.87159,-122.27275,"Avg CP,
Highest DS"
"17","Birmingham","AL",50127,104.9,56449,88.8,118.1,68.8,33.52066,-86.80249,"High CP,
Low DS"
"18","Bloomington","IN",38988,81.6,41609,93.7,87.1,89.1,39.16533,-86.52639,"Lowest CP,
Avg DS"
