GeoName,2016
United States,100
"Abilene, TX (Metropolitan Statistical Area)",91.5
"Akron, OH (Metropolitan Statistical Area)",90
"Albany, GA (Metropolitan Statistical Area)",83.3
"Albany, OR (Metropolitan Statistical Area)",94.6
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",100.4
"Albuquerque, NM (Metropolitan Statistical Area)",96.3
"Alexandria, LA (Metropolitan Statistical Area)",87.9
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",100.8
"Altoona, PA (Metropolitan Statistical Area)",90.7
"Amarillo, TX (Metropolitan Statistical Area)",93
"Ames, IA (Metropolitan Statistical Area)",91.6
"Anchorage, AK (Metropolitan Statistical Area)",109.2
"Ann Arbor, MI (Metropolitan Statistical Area)",101.8
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",83.8
"Appleton, WI (Metropolitan Statistical Area)",91.9
"Asheville, NC (Metropolitan Statistical Area)",92.6
"Athens-Clarke County, GA (Metropolitan Statistical Area)",90.8
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",96.3
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",103.5
"Auburn-Opelika, AL (Metropolitan Statistical Area)",84.6
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",88.3
"Austin-Round Rock, TX (Metropolitan Statistical Area)",100
"Bakersfield, CA (Metropolitan Statistical Area)",96.7
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",107.2
"Bangor, ME (Metropolitan Statistical Area)",95.7
"Barnstable Town, MA (Metropolitan Statistical Area)",103.9
"Baton Rouge, LA (Metropolitan Statistical Area)",93
"Battle Creek, MI (Metropolitan Statistical Area)",90.6
"Bay City, MI (Metropolitan Statistical Area)",86.9
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",89.8
"Beckley, WV (Metropolitan Statistical Area)",78.8
"Bellingham, WA (Metropolitan Statistical Area)",99.4
"Bend-Redmond, OR (Metropolitan Statistical Area)",99
"Billings, MT (Metropolitan Statistical Area)",97.5
"Binghamton, NY (Metropolitan Statistical Area)",95.9
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",88.8
"Bismarck, ND (Metropolitan Statistical Area)",93.9
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",88.5
"Bloomington, IL (Metropolitan Statistical Area)",93.8
"Bloomington, IN (Metropolitan Statistical Area)",93.7
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",93.3
"Boise City, ID (Metropolitan Statistical Area)",94.8
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",111.1
"Boulder, CO (Metropolitan Statistical Area)",108.9
"Bowling Green, KY (Metropolitan Statistical Area)",85.1
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",106.4
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",120.1
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",83.8
"Brunswick, GA (Metropolitan Statistical Area)",85.6
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",94.4
"Burlington, NC (Metropolitan Statistical Area)",89.4
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",104.6
"California-Lexington Park, MD (Metropolitan Statistical Area)",100.3
"Canton-Massillon, OH (Metropolitan Statistical Area)",88.6
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",95.9
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",82.7
"Carbondale-Marion, IL (Metropolitan Statistical Area)",83.5
"Carson City, NV (Metropolitan Statistical Area)",95.6
"Casper, WY (Metropolitan Statistical Area)",97.6
"Cedar Rapids, IA (Metropolitan Statistical Area)",89.3
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",94.2
"Champaign-Urbana, IL (Metropolitan Statistical Area)",93.7
"Charleston, WV (Metropolitan Statistical Area)",87.3
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",96.2
