GeoName,Avg.Salary
United States,47807
"Abilene, TX (Metropolitan Statistical Area)",42801
"Akron, OH (Metropolitan Statistical Area)",49008
"Albany, GA (Metropolitan Statistical Area)",41271
"Albany, OR (Metropolitan Statistical Area)",39850
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",51546
"Albuquerque, NM (Metropolitan Statistical Area)",40369
"Alexandria, LA (Metropolitan Statistical Area)",45557
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",47487
"Altoona, PA (Metropolitan Statistical Area)",45195
"Amarillo, TX (Metropolitan Statistical Area)",45107
"Ames, IA (Metropolitan Statistical Area)",41189
"Anchorage, AK (Metropolitan Statistical Area)",50750
"Ann Arbor, MI (Metropolitan Statistical Area)",51508
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",40151
"Appleton, WI (Metropolitan Statistical Area)",50017
"Asheville, NC (Metropolitan Statistical Area)",43528
"Athens-Clarke County, GA (Metropolitan Statistical Area)",39732
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",48007
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",41758
"Auburn-Opelika, AL (Metropolitan Statistical Area)",40817
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",42573
"Austin-Round Rock, TX (Metropolitan Statistical Area)",51110
"Bakersfield, CA (Metropolitan Statistical Area)",37770
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",51979
"Bangor, ME (Metropolitan Statistical Area)",38961
"Barnstable Town, MA (Metropolitan Statistical Area)",62732
"Baton Rouge, LA (Metropolitan Statistical Area)",46187
"Battle Creek, MI (Metropolitan Statistical Area)",40424
"Bay City, MI (Metropolitan Statistical Area)",43752
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",44838
"Beckley, WV (Metropolitan Statistical Area)",41779
"Bellingham, WA (Metropolitan Statistical Area)",43394
"Bend-Redmond, OR (Metropolitan Statistical Area)",48656
"Billings, MT (Metropolitan Statistical Area)",47351
"Binghamton, NY (Metropolitan Statistical Area)",41183
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",50127
"Bismarck, ND (Metropolitan Statistical Area)",55892
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",38567
"Bloomington, IL (Metropolitan Statistical Area)",48297
"Bloomington, IN (Metropolitan Statistical Area)",38988
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",43450
"Boise City, ID (Metropolitan Statistical Area)",42962
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",61917
"Boulder, CO (Metropolitan Statistical Area)",57756
"Bowling Green, KY (Metropolitan Statistical Area)",39501
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",45546
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",85718
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",31569
"Brunswick, GA (Metropolitan Statistical Area)",42426
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",47247
"Burlington, NC (Metropolitan Statistical Area)",40641
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",50024
"California-Lexington Park, MD (Metropolitan Statistical Area)",51323
"Canton-Massillon, OH (Metropolitan Statistical Area)",45067
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",48525
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",46364
"Carbondale-Marion, IL (Metropolitan Statistical Area)",44129
"Carson City, NV (Metropolitan Statistical Area)",45650
"Casper, WY (Metropolitan Statistical Area)",64169
"Cedar Rapids, IA (Metropolitan Statistical Area)",52701
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",43565
"Champaign-Urbana, IL (Metropolitan Statistical Area)",45510
"Charleston, WV (Metropolitan Statistical Area)",46484
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",46408
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",49493
"Charlottesville, VA (Metropolitan Statistical Area)",55605
"Chattanooga, TN-GA (Metropolitan Statistical Area)",46505
"Cheyenne, WY (Metropolitan Statistical Area)",48266
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",52345
"Chico, CA (Metropolitan Statistical Area)",40899
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",53680
"Clarksville, TN-KY (Metropolitan Statistical Area)",41218
"Cleveland, TN (Metropolitan Statistical Area)",42660
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",53274
"Coeur d'Alene, ID (Metropolitan Statistical Area)",42237
"College Station-Bryan, TX (Metropolitan Statistical Area)",37821
"Colorado Springs, CO (Metropolitan Statistical Area)",43688
"Columbia, MO (Metropolitan Statistical Area)",46252
"Columbia, SC (Metropolitan Statistical Area)",44138
"Columbus, GA-AL (Metropolitan Statistical Area)",41699
"Columbus, IN (Metropolitan Statistical Area)",50181
"Columbus, OH (Metropolitan Statistical Area)",49999
"Corpus Christi, TX (Metropolitan Statistical Area)",42324
"Corvallis, OR (Metropolitan Statistical Area)",42009
"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",49204
"Cumberland, MD-WV (Metropolitan Statistical Area)",41138
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",49923
"Dalton, GA (Metropolitan Statistical Area)",39283
"Danville, IL (Metropolitan Statistical Area)",43914
"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",45482
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",49032
"Dayton, OH (Metropolitan Statistical Area)",47179
"Decatur, AL (Metropolitan Statistical Area)",41078
"Decatur, IL (Metropolitan Statistical Area)",50727
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",40359
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",51662
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",52310
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",49479
"Dothan, AL (Metropolitan Statistical Area)",43665
"Dover, DE (Metropolitan Statistical Area)",39819
"Dubuque, IA (Metropolitan Statistical Area)",47432
"Duluth, MN-WI (Metropolitan Statistical Area)",44914
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",51337
"East Stroudsburg, PA (Metropolitan Statistical Area)",39136
"Eau Claire, WI (Metropolitan Statistical Area)",45530
"El Centro, CA (Metropolitan Statistical Area)",37948
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",44814
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",44765
"Elmira, NY (Metropolitan Statistical Area)",41057
"El Paso, TX (Metropolitan Statistical Area)",36703
"Enid, OK (Metropolitan Statistical Area) 4/",46774
"Erie, PA (Metropolitan Statistical Area)",42859
"Eugene, OR (Metropolitan Statistical Area)",41681
"Evansville, IN-KY (Metropolitan Statistical Area)",47007
"Fairbanks, AK (Metropolitan Statistical Area)",47838
"Fargo, ND-MN (Metropolitan Statistical Area)",52815
"Farmington, NM (Metropolitan Statistical Area)",35050
"Fayetteville, NC (Metropolitan Statistical Area)",37657
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",62271
"Flagstaff, AZ (Metropolitan Statistical Area)",43633
"Flint, MI (Metropolitan Statistical Area)",41051
"Florence, SC (Metropolitan Statistical Area)",42250
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",41045
"Fond du Lac, WI (Metropolitan Statistical Area)",48964
"Fort Collins, CO (Metropolitan Statistical Area)",45732
"Fort Smith, AR-OK (Metropolitan Statistical Area)",39825
"Fort Wayne, IN (Metropolitan Statistical Area)",45774
"Fresno, CA (Metropolitan Statistical Area)",40309
"Gadsden, AL (Metropolitan Statistical Area)",40299
"Gainesville, FL (Metropolitan Statistical Area)",41271
"Gainesville, GA (Metropolitan Statistical Area)",43526
"Gettysburg, PA (Metropolitan Statistical Area)",45440
"Glens Falls, NY (Metropolitan Statistical Area)",42708
"Goldsboro, NC (Metropolitan Statistical Area)",39599
"Grand Forks, ND-MN (Metropolitan Statistical Area)",48711
"Grand Island, NE (Metropolitan Statistical Area)",46822
"Grand Junction, CO (Metropolitan Statistical Area)",40972
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",48851
"Grants Pass, OR (Metropolitan Statistical Area)",38939
"Great Falls, MT (Metropolitan Statistical Area)",46112
"Greeley, CO (Metropolitan Statistical Area)",42597
"Green Bay, WI (Metropolitan Statistical Area)",50190
"Greensboro-High Point, NC (Metropolitan Statistical Area)",43798
"Greenville, NC (Metropolitan Statistical Area)",42234
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",44007
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",38591
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",40085
"Hammond, LA (Metropolitan Statistical Area)",41645
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",34336
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",47955
"Harrisonburg, VA (Metropolitan Statistical Area)",39823
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",56914
"Hattiesburg, MS (Metropolitan Statistical Area)",43510
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",40747
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",49356
"Hinesville, GA (Metropolitan Statistical Area)",33852
"Homosassa Springs, FL (Metropolitan Statistical Area)",40289
"Hot Springs, AR (Metropolitan Statistical Area)",41722
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",43307
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",48692
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",41082
"Huntsville, AL (Metropolitan Statistical Area)",49918
"Idaho Falls, ID (Metropolitan Statistical Area)",44785
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",52830
"Iowa City, IA (Metropolitan Statistical Area)",49446
"Ithaca, NY (Metropolitan Statistical Area)",36716
"Jackson, MI (Metropolitan Statistical Area)",40136
"Jackson, MS (Metropolitan Statistical Area)",45387
"Jackson, TN (Metropolitan Statistical Area)",45246
"Jacksonville, FL (Metropolitan Statistical Area)",46299
"Jacksonville, NC (Metropolitan Statistical Area)",47858
"Janesville-Beloit, WI (Metropolitan Statistical Area)",42962
"Jefferson City, MO (Metropolitan Statistical Area)",46673
"Johnson City, TN (Metropolitan Statistical Area)",41520
"Johnstown, PA (Metropolitan Statistical Area)",44343
"Jonesboro, AR (Metropolitan Statistical Area)",40329
"Joplin, MO (Metropolitan Statistical Area)",40679
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",40848
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",46190
"Kankakee, IL (Metropolitan Statistical Area)",38890
"Kansas City, MO-KS (Metropolitan Statistical Area)",51224
"Kennewick-Richland, WA (Metropolitan Statistical Area)",41603
"Killeen-Temple, TX (Metropolitan Statistical Area)",41912
"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",42205
"Kingston, NY (Metropolitan Statistical Area)",43047
"Knoxville, TN (Metropolitan Statistical Area)",46417
"Kokomo, IN (Metropolitan Statistical Area)",43849
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",47898
"Lafayette, LA (Metropolitan Statistical Area)",43853
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",38094
"Lake Charles, LA (Metropolitan Statistical Area)",48773
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",31589
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",34857
"Lancaster, PA (Metropolitan Statistical Area)",45962
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",40822
"Laredo, TX (Metropolitan Statistical Area)",32222
"Las Cruces, NM (Metropolitan Statistical Area)",36624
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",42455
"Lawrence, KS (Metropolitan Statistical Area)",41897
"Lawton, OK (Metropolitan Statistical Area)",42044
"Lebanon, PA (Metropolitan Statistical Area)",44520
"Lewiston, ID-WA (Metropolitan Statistical Area)",44480
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",39287
"Lexington-Fayette, KY (Metropolitan Statistical Area)",47221
