City,State,Avg.Salary,Regional.Price.Parity,Rent.Index,lat,lng
Akron,OH,49008,90,76.8,41.08144,-81.51901
Albany,NY,51546,100.4,105.1,42.65258,-73.75623
Albuquerque,NM,40369,96.3,90.1,35.08449,-106.65114
Ann Arbor,MI,51508,101.8,114,42.27756,-83.74088
Arlington,TX,49923,100.2,103.2,32.73569,-97.10807
Arlington,VA,54683,119.1,166.4,38.88101,-77.10428
Asheville,NC,43528,92.6,87,35.60095,-82.55402
Athens,GA,39732,90.8,77.7,33.96095,-83.37794
Atlanta,GA,48007,96.3,93.5,33.749,-84.38798
Augusta,GA,42573,88.3,68.7,33.47097,-81.97484
Austin,TX,51110,100,117.2,30.26715,-97.74306
Bakersfield,CA,37770,96.7,91.7,35.37329,-119.01871
Baltimore,MD,51979,107.2,116,39.29038,-76.61219
Bellevue,WA,57630,110.5,134,47.61038,-122.20068
Bellingham,WA,43394,99.4,103.7,48.75955,-122.48822
Berkeley,CA,66920,124.7,190.9,37.87159,-122.27275
Birmingham,AL,50127,88.8,68.8,33.52066,-86.80249
Bloomington,IN,38988,93.7,89.1,39.16533,-86.52639
Boise,ID,42962,94.8,83.3,43.6135,-116.20345
Boston,MA,61917,111.1,141,42.35843,-71.05977
Boulder,CO,57756,108.9,144.5,40.01499,-105.27055
Brooklyn,NY,53197,122,154.9,40.6501,-73.94958
Buffalo,NY,47247,94.4,78.2,42.88645,-78.87837
Burlington,VT,50024,104.6,126.3,44.47588,-73.21207
Charleston,SC,46408,96.2,97.6,32.77657,-79.93092
Charlotte,NC,49493,93.5,86.5,35.22709,-80.84313
Chattanooga,TN,46505,89.3,70.8,35.04563,-85.30968
Chicago,IL,52345,103.8,114.8,41.85003,-87.65005
Cincinnati,OH,53680,89.6,78.7,39.12711,-84.51439
Cleveland,OH,53274,90.2,77.9,41.4995,-81.69541
College Station,TX,37821,93.3,87.4,30.62798,-96.33441
Colorado Springs,CO,43688,99.6,104.8,38.83388,-104.82136
Columbia,SC,44138,91.8,80.4,34.00071,-81.03481
Columbus,OH,49999,93,84.2,39.96118,-82.99879
Dallas,TX,49923,100.2,103.2,32.78306,-96.80667
Dayton,OH,47179,90,72.1,39.75895,-84.19161
Denver,CO,51662,106,127.9,39.73915,-104.9847
Des Moines,IA,52310,94.5,90.6,41.60054,-93.60911
Detroit,MI,49479,95.9,86.7,42.33143,-83.04575
Durham,NC,51337,95.2,93.3,35.99403,-78.89862
Eugene,OR,41681,97.8,96.6,44.05207,-123.08675
Everett,WA,46849,97.9,100.8,47.97898,-122.20208
Fayetteville,AR,62271,89.5,70.3,36.06258,-94.15743
Fort Collins,CO,45732,101.9,117.7,40.58526,-105.08442
Fort Lauderdale,FL,46295,107.6,129.4,26.12231,-80.14338
Fort Myers,FL,48525,95.9,96.3,26.62168,-81.84059
Fort Wayne,IN,45774,89.9,70,41.1306,-85.12886
Fort Worth,TX,49923,100.2,103.2,32.72541,-97.32085
Fresno,CA,40309,96.3,90.1,36.74773,-119.77237
Grand Rapids,MI,48851,93.5,87,42.96336,-85.66809
Greensboro,NC,43798,89.8,72.6,36.07264,-79.79198
Greenville,SC,44007,89.6,72,34.85262,-82.39401
Harrisburg,PA,47955,96.6,87.7,40.2737,-76.88442
Hartford,CT,56914,101.5,109.3,41.76371,-72.68509
Houston,TX,48692,101.6,103.2,29.76328,-95.36327
Huntsville,AL,49918,89.4,68.3,34.7304,-86.58594
Indianapolis,IN,52830,92.8,83,39.76838,-86.15804
Irvine,CA,47793,117.7,165.4,33.66946,-117.82311
Jacksonville,FL,46299,95.8,95.8,30.33218,-81.65565
Jersey City,NJ,53197,122,154.9,40.72816,-74.07764
Kansas City,MO,51224,93.7,82.4,39.09973,-94.57857
Knoxville,TN,46417,88.5,68.6,35.96064,-83.92074
Las Vegas,NV,42455,97.8,96.5,36.17497,-115.13722
Lexington,KY,47221,91.3,76.4,37.98869,-84.47772
Lincoln,NE,47793,92.5,81.5,40.8,-96.66696
Little Rock,AR,45527,90.5,74.1,34.74648,-92.28959
Long Beach,CA,47793,117.7,165.4,33.88638,-118.04535
Los Angeles,CA,47793,117.7,165.4,34.05223,-118.24368
Louisville,KY,48779,91,75.8,38.25424,-85.75941
Lubbock,TX,41326,93.2,85.5,33.57786,-101.85517
Madison,WI,53934,97.7,108.6,43.07305,-89.40123
Manchester,NH,51071,108.5,126,42.99564,-71.45479
Melbourne,FL,42462,95.6,94.9,28.08363,-80.60811
