City,State,Regional.Price.Parity,Cost.of.Living.Plus.Rent.Index,Local.Purchasing.Power.Index,Avg.Disp.Sal.Index,lat,lng
Akron, OH,90,48.02,99.21,47.640642,41.08144,-81.51901
Albany, NY,100.4,56.38,139.34,78.559892,42.65258,-73.75623
Albuquerque, NM,96.3,46.33,123.57,57.249981,35.08449,-106.65114
Ann Arbor, MI,101.8,58.07,163.57,94.985099,42.27756,-83.74088
Arlington, TX,100.2,48.47,152.9,74.11063,32.73569,-97.10807
Arlington, VA,119.1,76.01,120.53,91.614853,38.88101,-77.10428
Asheville, NC,92.6,58.31,111.73,65.149763,35.60095,-82.55402
Athens, GA,90.8,44.21,110.52,48.860892,33.96095,-83.37794
Atlanta, GA,96.3,60.92,153.77,93.676684,33.749,-84.38798
Augusta, GA,88.3,49.29,100.38,49.477302,33.47097,-81.97484
Austin, TX,100,61.53,140.39,86.381967,30.26715,-97.74306
Bakersfield, CA,96.7,49.86,120.54,60.101244,35.37329,-119.01871
Baltimore, MD,107.2,61.36,116.79,71.662344,39.29038,-76.61219
Bellevue, WA,110.5,78.15,73.46,57.40899,47.61038,-122.20068
Bellingham, WA,99.4,56.67,131.14,74.317038,48.75955,-122.48822
Berkeley, CA,124.7,83.42,115.84,96.633728,37.87159,-122.27275
Birmingham, AL,88.8,53.77,134.55,72.347535,33.52066,-86.80249
Bloomington, IN,93.7,63.93,96.92,61.960956,39.16533,-86.52639
Boise, ID,94.8,46.37,130.86,60.679782,43.6135,-116.20345
Boston, MA,111.1,83.03,101.35,84.150905,42.35843,-71.05977
Boulder, CO,108.9,68.5,143.02,97.9687,40.01499,-105.27055
Brooklyn, NY,122,85.33,87.04,74.271232,40.6501,-73.94958
Buffalo, NY,94.4,51.31,120.23,61.690013,42.88645,-78.87837
Burlington, VT,104.6,61.05,101.19,61.776495,44.47588,-73.21207
Charleston, SC,96.2,66.8,115.41,77.09388,32.77657,-79.93092
Charlotte, NC,93.5,58.6,112.72,66.05392,35.22709,-80.84313
Chattanooga, TN,89.3,48.02,145.27,69.758654,35.04563,-85.30968
Chicago, IL,103.8,68.85,119.17,82.048545,41.85003,-87.65005
Cincinnati, OH,89.6,50.79,136.92,69.541668,39.12711,-84.51439
Cleveland, OH,90.2,51.71,146.27,75.636217,41.4995,-81.69541
College Station, TX,93.3,47.79,118.7,56.72673,30.62798,-96.33441
Colorado Springs, CO,99.6,54.1,150.89,81.63149,38.83388,-104.82136
Columbia, SC,91.8,50.3,92.47,46.51241,34.00071,-81.03481
Columbus, OH,93,52.92,125.47,66.398724,39.96118,-82.99879
Dallas, TX,100.2,54.7,162.37,88.81639,32.78306,-96.80667
Dayton, OH,90,46.71,114.2,53.34282,39.75895,-84.19161
Denver, CO,106,66.07,130.1,85.95707,39.73915,-104.9847
Des Moines, IA,94.5,50.97,125.85,64.145745,41.60054,-93.60911
Detroit, MI,95.9,53.45,131.62,70.35089,42.33143,-83.04575
Durham, NC,95.2,51.54,146.95,75.73803,35.99403,-78.89862
Eugene, OR,97.8,56,109.06,61.0736,44.05207,-123.08675
Everett, WA,97.9,60.68,113.75,69.0235,47.97898,-122.20208
Fayetteville, AR,89.5,50.76,104.92,53.257392,36.06258,-94.15743
Fort Collins, CO,101.9,58.38,73.23,42.751674,40.58526,-105.08442
Fort Lauderdale, FL,107.6,65.11,104.35,67.942285,26.12231,-80.14338
Fort Myers, FL,95.9,50.62,86.87,43.973594,26.62168,-81.84059
Fort Wayne, IN,89.9,46.28,129.87,60.103836,41.1306,-85.12886
Fort Worth, TX,100.2,52.12,142.22,74.125064,32.72541,-97.32085
Fresno, CA,96.3,52.38,110.71,57.989898,36.74773,-119.77237
Grand Rapids, MI,93.5,52.43,143.87,75.431041,42.96336,-85.66809
Greensboro, NC,89.8,50.93,141.87,72.254391,36.07264,-79.79198
Greenville, SC,89.6,55.73,127.49,71.050177,34.85262,-82.39401
Harrisburg, PA,96.6,49.59,140.56,69.703704,40.2737,-76.88442
Hartford, CT,101.5,62.19,101.57,63.166383,41.76371,-72.68509
Houston, TX,101.6,57.7,145.38,83.88426,29.76328,-95.36327
Huntsville, AL,89.4,46.03,152.26,70.085278,34.7304,-86.58594
Indianapolis, IN,92.8,55.89,94.22,52.659558,39.76838,-86.15804
Irvine, CA,117.7,75.3,139.48,105.02844,33.66946,-117.82311
Jacksonville, FL,95.8,53.66,117.13,62.851958,30.33218,-81.65565
Jersey City, NJ,122,73.2,130.99,95.88468,40.72816,-74.07764
Kansas City, MO,93.7,49.89,135.76,67.730664,39.09973,-94.57857
Knoxville, TN,88.5,46.55,128.69,59.905195,35.96064,-83.92074
Las Vegas, NV,97.8,51.2,148.81,76.19072,36.17497,-115.13722
Lexington, KY,91.3,47.45,130.77,62.050365,37.98869,-84.47772
Lincoln, NE,92.5,49.21,124.13,61.084373,40.8,-96.66696
Little Rock, AR,90.5,48.89,132.31,64.686359,34.74648,-92.28959
Long Beach, CA,117.7,67.01,127.25,85.270225,33.88638,-118.04535
Los Angeles, CA,117.7,75.77,109.01,82.596877,34.05223,-118.24368
Louisville, KY,91,47.39,127.21,60.284819,38.25424,-85.75941
