City,State,Cost.of.Living.Index,Rent.Index,Cost.of.Living.Plus.Rent.Index,Groceries.Index,Restaurant.Price.Index,Local.Purchasing.Power.Index,Avg.Disp.Sal.Index,lat,lng,City.Category
Akron,OH,72.65,21.57,48.02,77.33,63.79,99.21,47.640642,41.08144,-81.51901,"Low CP,
Low DS"
Albany,NY,80.19,30.82,56.38,83.35,71.86,139.34,78.559892,42.65258,-73.75623,"Avg CP,
Low DS"
Albuquerque,NM,65.73,25.5,46.33,68.04,64.58,123.57,57.249981,35.08449,-106.65114,"Avg CP,
Low DS"
Ann Arbor,MI,70.01,45.26,58.07,69.31,62.97,163.57,94.985099,42.27756,-83.74088,"High CP,
Low DS"
Arlington,TX,65.63,30.04,48.47,62.02,63.87,152.9,74.11063,32.73569,-97.10807,"High CP,
Low DS"
Arlington,VA,89.2,61.85,76.01,88.51,82.63,120.53,91.614853,38.88101,-77.10428,"Avg CP,
Avg DS"
Asheville,NC,77.36,37.85,58.31,84.94,72.18,111.73,65.149763,35.60095,-82.55402,"Avg CP,
Low DS"
Athens,GA,60.55,26.67,44.21,57.85,59.58,110.52,48.860892,33.96095,-83.37794,"Low CP,
Low DS"
Atlanta,GA,74.97,45.83,60.92,75,74.81,153.77,93.676684,33.749,-84.38798,"High CP,
Low DS"
Augusta,GA,74.29,22.45,49.29,82.42,62.66,100.38,49.477302,33.47097,-81.97484,"Low CP,
Low DS"
Austin,TX,72.46,49.8,61.53,73.02,75.56,140.39,86.381967,30.26715,-97.74306,"Avg CP,
Avg DS"
Bakersfield,CA,69.2,29.09,49.86,71.91,64.38,120.54,60.101244,35.37329,-119.01871,"Avg CP,
Low DS"
Baltimore,MD,76.57,45.03,61.36,73.92,80.16,116.79,71.662344,39.29038,-76.61219,"Avg CP,
Low DS"
Bellevue,WA,88.85,66.67,78.15,88.43,80.99,73.46,57.40899,47.61038,-122.20068,"Lowest CP,
High DS"
Bellingham,WA,77.13,34.7,56.67,79.09,77.88,131.14,74.317038,48.75955,-122.48822,"Avg CP,
Low DS"
Berkeley,CA,87.82,78.69,83.42,97.88,78.29,115.84,96.633728,37.87159,-122.27275,"Low-Avg CP,
High DS"
Birmingham,AL,74.64,31.36,53.77,76.12,74.13,134.55,72.347535,33.52066,-86.80249,"Avg CP,
Low DS"
Bloomington,IN,92.14,33.64,63.93,112.83,75.43,96.92,61.960956,39.16533,-86.52639,"Low CP,
Low DS"
Boise,ID,62.65,28.91,46.37,58.7,65.39,130.86,60.679782,43.6135,-116.20345,"Avg CP,
Low DS"
Boston,MA,87.05,78.72,83.03,88.99,86.2,101.35,84.150905,42.35843,-71.05977,"Low CP,
High DS"
Boulder,CO,82.19,53.8,68.5,86.22,74.92,143.02,97.9687,40.01499,-105.27055,"Avg CP,
Avg DS"
Brooklyn,NY,93.79,76.24,85.33,92.73,100.58,87.04,74.271232,40.6501,-73.94958,"Low CP,
High DS"
Buffalo,NY,72.15,28.94,51.31,69.14,72.72,120.23,61.690013,42.88645,-78.87837,"Avg CP,
Low DS"
Burlington,VT,78.89,41.89,61.05,82.04,79.41,101.19,61.776495,44.47588,-73.21207,"Low CP,
Low DS"
Charleston,SC,86.19,45.99,66.8,98.41,71.87,115.41,77.09388,32.77657,-79.93092,"Avg CP,
Low DS"
Charlotte,NC,75.35,40.62,58.6,79.4,73.87,112.72,66.05392,35.22709,-80.84313,"Avg CP,
Low DS"
Chattanooga,TN,66.89,27.77,48.02,67.8,62.68,145.27,69.758654,35.04563,-85.30968,"Avg CP,
Low DS"
Chicago,IL,80.16,56.71,68.85,79.14,77.99,119.17,82.048545,41.85003,-87.65005,"Avg CP,
Avg DS"
Cincinnati,OH,69.13,31.11,50.79,61.6,70.4,136.92,69.541668,39.12711,-84.51439,"Avg CP,
Low DS"
Cleveland,OH,73.47,28.35,51.71,67.52,74.7,146.27,75.636217,41.4995,-81.69541,"Avg CP,
Low DS"
College Station,TX,61.85,32.7,47.79,68.95,57.12,118.7,56.72673,30.62798,-96.33441,"Avg CP,
Low DS"
Colorado Springs,CO,75.42,31.21,54.1,72.93,76.48,150.89,81.63149,38.83388,-104.82136,"High CP,
Low DS"
Columbia,SC,69.7,29.48,50.3,75.37,65.65,92.47,46.51241,34.00071,-81.03481,"Low CP,
Low DS"
Columbus,OH,69.13,35.51,52.92,66.96,62.16,125.47,66.398724,39.96118,-82.99879,"Avg CP,
Low DS"
Dallas,TX,65.94,42.64,54.7,61.95,67.11,162.37,88.81639,32.78306,-96.80667,"High CP,
Low DS"
Dayton,OH,69.76,21.96,46.71,73.53,62.38,114.2,53.34282,39.75895,-84.19161,"Avg CP,
Low DS"
Denver,CO,77.31,54,66.07,77.48,79.43,130.1,85.95707,39.73915,-104.9847,"Avg CP,
Avg DS"
Des Moines,IA,69.37,31.23,50.97,73.45,63.64,125.85,64.145745,41.60054,-93.60911,"Avg CP,
Low DS"
Detroit,MI,70.2,35.48,53.45,67.02,59.3,131.62,70.35089,42.33143,-83.04575,"Avg CP,
Low DS"
Durham,NC,66.44,35.54,51.54,64.75,67.79,146.95,75.73803,35.99403,-78.89862,"High CP,
Low DS"
Eugene,OR,78.94,31.38,56,91.86,69.07,109.06,61.0736,44.05207,-123.08675,"Low CP,
Low DS"
Everett,WA,77.63,42.48,60.68,84.84,70.29,113.75,69.0235,47.97898,-122.20208,"Avg CP,
Low DS"
Fayetteville,AR,74.9,24.85,50.76,81.39,69.15,104.92,53.257392,36.06258,-94.15743,"Low CP,
Low DS"
Fort Collins,CO,73.57,42.07,58.38,81.45,61.31,73.23,42.751674,40.58526,-105.08442,"Lowest CP,
Low DS"
Fort Lauderdale,FL,77.67,51.63,65.11,79.05,77.85,104.35,67.942285,26.12231,-80.14338,"Low-Avg CP,
High DS"
Fort Myers,FL,68.06,31.9,50.62,71.88,62.43,86.87,43.973594,26.62168,-81.84059,"Low CP,
Low DS"
Fort Wayne,IN,69.42,21.43,46.28,74.49,69.24,129.87,60.103836,41.1306,-85.12886,"Avg CP,
Low DS"
Fort Worth,TX,67.81,35.29,52.12,66.57,65.5,142.22,74.125064,32.72541,-97.32085,"High CP,
Low DS"
Fresno,CA,72.36,30.94,52.38,72.51,75.89,110.71,57.989898,36.74773,-119.77237,"Low CP,
Low DS"
Grand Rapids,MI,70.58,32.95,52.43,69.69,70.77,143.87,75.431041,42.96336,-85.66809,"High CP,
Low DS"
Greensboro,NC,74.1,26.05,50.93,80.28,62.04,141.87,72.254391,36.07264,-79.79198,"Avg CP,
Low DS"
Greenville,SC,74.08,36.03,55.73,83.74,67.18,127.49,71.050177,34.85262,-82.39401,"Avg CP,
Low DS"
Harrisburg,PA,69.91,27.78,49.59,72.58,66.41,140.56,69.703704,40.2737,-76.88442,"Avg CP,
Low DS"
Hartford,CT,80.86,42.15,62.19,78.41,86.26,101.57,63.166383,41.76371,-72.68509,"Low CP,
Low DS"
Houston,TX,70.37,44.1,57.7,71.01,71.15,145.38,83.88426,29.76328,-95.36327,"High CP,
Low DS"
Huntsville,AL,63.34,27.45,46.03,64.13,63.83,152.26,70.085278,34.7304,-86.58594,"High CP,
Low DS"
Indianapolis,IN,74.72,35.67,55.89,73.92,74.26,94.22,52.659558,39.76838,-86.15804,"Low CP,
Low DS"
Irvine,CA,83.73,66.26,75.3,89.49,76.5,139.48,105.02844,33.66946,-117.82311,"Avg CP,
High DS"
Jacksonville,FL,73.58,32.27,53.66,77.14,73.25,117.13,62.851958,30.33218,-81.65565,"Avg CP,
Low DS"
Jersey City,NJ,79.91,66,73.2,79.5,85.95,130.99,95.88468,40.72816,-74.07764,"Avg CP,
High DS"
