City,State,ELEV_M,TEMP,HI,RH,WDSP,PRCP,MAX,MIN,I_FOG,I_RAIN_DRIZZLE,I_SNOW_ICE,I_HAIL,I_THUNDER,I_TORNADO_FUNNEL,Season
Akron,OH,206,29.57673130193906,29.246537396121884,75.49861495844875,4.29196675900277,2.0844875346260388,71.96,-11.02,25,41,68,0,3,0,Winter
Albany,NY,111.3,31.00725761772853,30.526315789473685,66.80415512465375,2.880886426592798,2.4335180055401664,75.02,-13,61,102,104,0,0,0,Winter
Albuquerque,NM,2159.8,36.01684210526316,34.72299168975069,51.682271468144044,5.798891966759003,0.542382271468144,69.98,-0.4,37,35,63,0,0,0,Winter
Ann Arbor,MI,206,29.338891966759004,28.98337950138504,74.34653739612189,4.227700831024931,1.5229916897506925,69.08,-11.02,28,36,55,0,1,0,Winter
Arlington,TX,228.3,48.918005540166206,47.41551246537396,66.83739612188366,3.4886426592797783,2.419667590027701,84.92,6.98,40,103,11,0,21,0,Winter
Arlington,VA,2,38.81556786703601,37.93905817174515,64.85595567867036,2.2047091412742383,2.6817174515235456,82.94,-9.04,41,87,48,0,4,0,Winter
Asheville,NC,358.1,42.76360110803324,41.38504155124654,62.777562326869806,2.0941828254847645,3.037950138504155,82.94,5,73,109,19,0,3,0,Winter
Athens,GA,232.6,47.51041551246537,46.26869806094183,70.13047091412743,2.11191135734072,4.378670360110803,80.96,8.96,37,131,8,0,12,0,Winter
Atlanta,GA,232.6,47.51041551246537,46.26869806094183,70.13047091412743,2.11191135734072,4.378670360110803,80.96,8.96,37,131,8,0,12,0,Winter
Augusta,GA,14,53.05800554016621,51.70914127423823,67.84542936288089,3.078393351800554,3.082825484764543,87.08,19.04,78,121,2,0,12,0,Winter
Austin,TX,152.4,54.152963988919666,52.634349030470915,65.5628808864266,3.9254847645429365,1.7587257617728531,91.94,15.98,66,125,6,0,17,0,Winter
Bakersfield,CA,54.6,58.97656509695291,57.21052631578947,55.96897506925208,0.8645429362880886,2.1329639889196677,89.96,35.06,21,68,0,0,0,0,Winter
Baltimore,MD,2,35.70171745152354,35.05263157894737,68.12465373961219,2.3994459833795014,1.9119113573407203,77,-4,34,72,42,0,2,0,Winter
Bellevue,WA,15,43.3021052631579,41.97783933518006,80.13905817174515,4.72797783933518,2.052354570637119,62.96,21.92,26,102,6,0,0,0,Winter
Bellingham,WA,15,38.26559556786704,37.24653739612188,80.56592797783934,3.852354570637119,1.8285318559556787,62.96,-21.64,26,102,6,0,0,0,Winter
Berkeley,CA,37.2,48.68365650969529,47.0775623268698,77.66675900277008,2.3149584487534627,1.2977839335180055,78.8,24.98,77,61,1,0,2,0,Winter
Birmingham,AL,236.5,50.48664819944598,48.986149584487535,65.5792243767313,3.0229916897506923,4.809695290858726,84.92,8.06,33,123,8,0,25,0,Winter
Bloomington,IN,164.6,35.35418282548476,34.59833795013851,71.28808864265928,4.029362880886427,3.4229916897506927,78.98,-11.92,34,137,101,0,11,0,Winter
Boise,ID,773.3,24.44797783933518,24.393351800554015,82.51274238227147,1.5052631578947369,2.5457063711911356,60.8,-18.94,144,54,178,0,0,0,Winter
Boston,MA,40.5,34.90792243767313,34.1606648199446,67.46038781163435,3.5019390581717453,3.4609418282548474,64.94,-9.94,61,92,69,0,1,0,Winter
Boulder,CO,1884,27.660554016620498,26.92797783933518,53.69806094182825,3.7698060941828255,0.7132963988919667,77,-18.94,67,8,148,0,0,0,Winter
